objid,ra,dec,pmL,pmB,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z
1237665225701523830,202.747184232982,30.2482685443458,0,0,23.27771,22.19154,20.95619,20.45743,19.90789,0.5360793,0.09662216,0.04687175,0.04072654,0.09618733
1237665225701523832,202.738307990891,30.1888760861729,0,0,22.85247,21.49366,21.55227,21.43175,21.88693,0.3828562,0.05416786,0.07581344,0.09390067,0.4819516
1237665225701523864,202.780073997156,30.2626875355699,0,0,24.50101,22.15448,20.91995,20.27505,20.04778,0.9972097,0.09548093,0.04614593,0.03616693,0.1097322
1237665225701523887,202.80160275077,30.2900817341415,0,0,24.26599,21.73751,21.34601,21.03871,21.2403,0.9829591,0.06714485,0.06516215,0.06744366,0.2981166
1237665225701523888,202.790346076846,30.2287995579162,0,0,22.83123,21.62347,20.56086,20.16749,19.88827,0.3900895,0.06098602,0.03422314,0.03321997,0.09579849
1237665225701523896,202.799278756787,30.252739279652,15.55759,14.01776,23.67044,21.5886,20.16376,19.18484,18.58028,0.7129664,0.0586319,0.02496072,0.01579774,0.03222633
1237665225701523910,202.820622885791,30.2798913955469,16.60646,11.75151,22.73854,21.31068,20.12535,19.66184,19.35928,0.3617001,0.04744363,0.02441212,0.02241568,0.06068248
1237665225701523923,202.826390786703,30.2695325442482,0,0,22.51843,21.45926,21.15465,21.03751,20.64351,0.3046693,0.05366689,0.05528942,0.06822925,0.1822915
1237665225701523924,202.829972211987,30.2854789772385,0,0,22.19737,21.34529,20.34402,20.00106,19.78241,0.2297719,0.0484248,0.02854583,0.02852317,0.0857325
1237665225701523825,202.738180087303,30.2534625186083,0,0,23.92401,22.04571,20.68399,19.5491,18.8477,0.8114836,0.0853385,0.03759377,0.02027899,0.03989772
1237665225701523823,202.742103033912,30.2777688730792,0,0,23.00193,21.65253,21.38951,21.2817,21.84896,0.4657239,0.06605389,0.07294439,0.08918076,0.5078452
1237665225701523822,202.741811830794,30.2785943324385,0,0,23.58523,21.84299,20.50023,20.0639,19.82521,0.6744053,0.07533132,0.03363207,0.03087896,0.09226806
1237665225701523814,202.730064670833,30.2295454277453,3.527573,2.432445,23.06827,21.26427,19.87241,19.36784,18.9606,0.457034,0.0450173,0.02028655,0.01786992,0.04393733
1237665225701523811,202.738845025318,30.3068866013803,0,0,22.88675,21.67651,21.46708,21.42332,21.1784,0.4202484,0.06516235,0.07553459,0.09626622,0.2954478
1237665225701523807,202.741877406091,30.334731251283,0,0,22.44234,21.26159,20.66275,20.36176,20.25934,0.2776645,0.04500266,0.03731498,0.03776073,0.1278293
1237665225701523777,202.702055908132,30.2685205568448,0,0,22.1326,21.72285,21.41009,21.36198,21.65318,0.2109098,0.06532053,0.06843609,0.08625415,0.4094251
1237665225701523769,202.685868885986,30.1995774763923,0,0,23.06183,21.32097,20.84249,20.60325,20.51057,0.4762821,0.05009547,0.04492115,0.04967784,0.1771338
1237665225701523759,202.693512252291,30.2707815965185,0,0,22.10525,21.09183,20.67711,20.55022,20.54926,0.2066006,0.03995491,0.03785203,0.04428281,0.1693201
1237665225701523757,202.696351905967,30.2906384259058,-16.95725,29.86912,23.56545,21.47649,20.11422,19.35744,18.95487,0.6572721,0.05347764,0.02428458,0.0176737,0.04341826
1237665225701523747,202.686669890463,30.2729150650195,0,0,24.01603,21.87695,21.25412,21.00833,20.88258,0.8571096,0.07532609,0.06130871,0.0654029,0.2272123
1237665225701523729,202.691359289051,30.354928813105,10.88066,16.15154,25.14358,21.95806,20.74252,19.21366,18.41621,0.8892335,0.07985482,0.03974006,0.01608698,0.02846709
1237665225701523713,202.67382259616,30.325649196433,-19.37894,-15.69559,24.23853,21.54211,20.50468,19.83799,19.65095,1.017899,0.06385503,0.03702572,0.02851594,0.08981428
1237665225701523708,202.674409329343,30.3476429803961,0,0,25.15368,21.80831,20.46781,19.33609,18.76168,0.890835,0.07238389,0.03266693,0.01788212,0.03836503
