objid,pmL,pmB,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,elodieFeH,elodieTEff,elodieBV
1237666227498516946,1.495974,-1.00596,272.361052884201,23.1019408797602,18.05626,16.35676,15.59402,15.2532,15.05036,0.01303606,0.003538316,0.00361849,0.00375683,0.004910014,-0.61,5132,0.764
1237666210856305504,-6.188181,1.638017,271.737125237463,24.0379784168732,20.91494,19.37512,18.71762,18.47569,18.41793,0.07807093,0.01120297,0.009569331,0.01004093,0.0318097,-0.03,5261,0.773
1237666210856829892,0,0,272.930850317158,23.4860609540535,20.08775,18.56625,17.86706,17.58548,17.4346,0.04198988,0.007439864,0.006260406,0.00642168,0.01551531,-0.03,5261,0.773
1237666210856830380,-126.8791,17.63106,273.055508515381,23.5703459022278,22.06779,19.85482,18.36125,17.74154,17.34058,0.175027,0.01498519,0.007793297,0.006788389,0.01487942,-0.36,3962,1.354
1237666227498451081,0,0,272.140185474035,23.2418149310758,20.29441,19.02178,18.9115,18.95145,19.07047,0.05310186,0.01098348,0.0120786,0.01503353,0.05624615,-2,8500,0
1237666227498647719,-4.801804,-1.484099,272.596155708575,23.0068386790032,19.25224,17.85426,17.20745,16.96217,16.7955,0.02525159,0.00545828,0.00493289,0.004957773,0.01033533,-0.54,5720,0.564
1237666228035061622,-9.878871,-5.052777,271.766878533171,23.6386854215397,21.39638,20.1125,19.43064,19.13475,18.96707,0.1082157,0.0198644,0.01466683,0.01510405,0.04732613,-0.61,5132,0.764
1237666228035257976,-3.598359,2.163873,272.230445345461,23.5359860661384,19.20877,17.91752,17.28153,16.98265,16.82395,0.02554602,0.005505265,0.005089442,0.005259309,0.01145283,-0.94,5613,0.712
1237666228035322411,-5.370515,-6.863256,272.419961802873,23.5611927434421,23.0605,21.02342,20.36037,20.02842,22.57577,0.5366977,0.03628102,0.02763716,0.02853147,0.7768859,-0.11,5890,0.549
1237666210856567349,-8.95641,-6.581875,272.418388467159,23.7245756314088,16.30167,16.33165,16.67245,16.926,17.1771,0.005876248,0.003650446,0.004185809,0.00495379,0.01354994,-0.06,9640,-0.021
